NomFrançais|NomAnglais|Date|CAS|NoUN|Classification|PourcentageDeDivulgation|Annexe 4|Commentaire|
Acide aspartique (dl-)|dl-Aspartic acid|2014-11-14|617-45-8||DS.1c.99, DS.1i.99, DS.1o.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.  Ce produit n’était pas contrôlé en vertu du Règlement sur les produits contrôlés.|
Acide aspartique (l-)|l-Aspartic acid|2014-11-14|56-84-8||DS.1c.99, DS.1i.99, DS.1o.99, DS.7a.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.  Ce produit n’était pas contrôlé en vertu du Règlement sur les produits contrôlés.|
Acide barbiturique|Barbituric acid|2015-09-09|67-52-7||Produit non contrôlé|Non requise|||
Acide benzoïque|Benzoic acid|2016-06-27|65-85-0||DP.17.99, DS.3.2|Réglementation||Ce produit pourrait appartenir à la classe de danger "Poussières combustibles" en fonction de divers facteurs qui influencent la combustibilité et l'explosivité des poussières, notamment la composition, la forme et la taille des particules.|
Acide borique|Boric acid|2016-02-18|10043-35-3||DS.7.1B|Réglementation|||
Acide bromo-2 caproïque|2-Bromocaproic acid|2016-08-01|616-05-7||DS.1c.4, DS.1o.4, DS.2.2, DS.3.2, DS.9.3|Réglementation||Les données disponibles indiquent que la DL50 cutanée de l'acide bromo-2 caproïque est inférieure à 1370 m/kg et supérieure à 137 mg/kg . La classification de la toxicité aigue par contact cutané (H312) a été établie en utilisant 1370 mg/kg.|
Acide butyrique|Butyric acid|2016-06-27|107-92-6|UN2820|DP.6.4, DS.1c.3, DS.2.1, DS.3.1, DS.12co.1|Réglementation||Ce produit pourrait être corrosif pour les métaux, veuillez contacter le fournisseur pour plus d'information.|
Acide chloracétique|Chloroacetic acid|2016-01-21|79-11-8|UN1751|DS.1c.2, DS.1o.3, DS.2.1, DS.3.1, DS.12co.1|Réglementation|||
Acide chloranilique|Chloranilic acid|2014-11-14|87-88-7||DS.1c.99, DS.1i.99, DS.1o.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.  Ce produit n’était pas contrôlé en vertu du Règlement sur les produits contrôlés.|
Acide chlorhydrique 10,2 N|Hydrochloric acid|2018-10-19||UN1789|DS.2.1, DS.3.1, DS.12co.1|Réglementation||Ce produit pourrait être corrosif pour les métaux, veuillez contacter le fournisseur pour plus d'information.|
Acide chlorhydrique en solution aqueuse 28 %|Hydrochloric acid 28 % in aqueous solution|2018-10-19||UN1789|DS.2.1, DS.3.1, DS.12co.1|Réglementation||Ce produit pourrait être corrosif pour les métaux, veuillez contacter le fournisseur pour plus d'information.|
Acide chlorhydrique en solution aqueuse 3,6 %|Hydrochloric acid 3.6 % in aqueous solution|2015-10-29||UN1789|DS.1o.4, DS.2.2, DS.3.2|Réglementation||Ce produit pourrait être corrosif pour les métaux, veuillez contacter le fournisseur pour plus d'information.|
Acide chlorhydrique en solution aqueuse 31,45 %|Hydrochloric acid 31.45 % in aqueous solution|2018-10-19||UN1789|DS.2.1, DS.3.1, DS.12co.1|Réglementation||Ce produit pourrait être corrosif pour les métaux, veuillez contacter le fournisseur pour plus d'information.|
Acide chlorhydrique en solution aqueuse 35,2 %|Hydrochloric acid 35,2 % in aqueous solution|2018-10-19||UN1789|DS.2.1, DS.3.1, DS.12co.1|Réglementation||Ce produit pourrait être corrosif pour les métaux, veuillez contacter le fournisseur pour plus d'information.|
Acide chloro-2 benzoïque|2-Chlorobenzoic acid|2016-08-15|118-91-2||Produit non contrôlé|Non requise|||
Acide chloro-3 benzoïque|3-Chlorobenzoic acid|2016-08-17|535-80-8||Produit non contrôlé|Non requise|||
Acide chloro-3 propionique|3-Chloropropionic acid|2014-11-14|107-94-8||DS.1c.99, DS.1i.99, DS.1o.99, DS.2.1, DS.3.1, DS.8.99, DS.12co.1|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.|
Acide chloro-4 benzoïque|4-Chlorobenzoic acid|2016-08-17|74-11-3||Produit non contrôlé|Non requise||Des données de toxicité aiguë par ingestion sont disponibles pour ce produit, mais leur validité n'a pas pu être vérifiée.|
Acide chromique|Chromic acid|2018-03-14|7738-94-5|UN1755|DP.13.3, DS.1c.2, DS.1o.2, DS.2.1, DS.3.1, DS.4c.1A, DS.4r.1, DS.5.2, DS.6.1A, DS.7.1B, DS.12co.1|Réglementation||Cette classification est basée sur l'ensemble des données disponibles pour tous les composés hydrosolubles du chrome hexavalent (Cr VI) comme le dichromate de potassium.|
Acide cinnamique|Cinnamic acid|2015-09-02|621-82-9||DP.17.99|Réglementation||Ce produit pourrait appartenir à la classe de danger "Poussières combustibles" en fonction de divers facteurs qui influencent la combustibilité et l'explosivité des poussières, notamment la composition, la forme et la taille des particules.|
Acide cinnamique (trans-)|trans-Cinnamic acid|2014-11-14|140-10-3||DS.1c.99, DS.1i.99, DS.1o.99, DS.7a.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.  Ce produit n’était pas contrôlé en vertu du Règlement sur les produits contrôlés.|
Acide citrique|Citric acid|2015-09-02|77-92-9||DP.17.99, DS.3.2|Réglementation||Ce produit pourrait appartenir à la classe de danger "Poussières combustibles" en fonction de divers facteurs qui influencent la combustibilité et l'explosivité des poussières, notamment la composition, la forme et la taille des particules.|
Acide citrique 40%|Citric acid 40%|2015-09-16|||DS.3.2|Réglementation|||
Acide citrique monohydraté|Citric acid monohydrate|2015-09-03|5949-29-1||DP.17.99, DS.3.2|Réglementation||Ce produit pourrait appartenir à la classe de danger "Poussières combustibles" en fonction de divers facteurs qui influencent la combustibilité et l'explosivité des poussières, notamment la composition, la forme et la taille des particules. En raison du manque de données, les classifications concernant les lésions occulaires (H318) a été établie par analogie à l'acide citrique anhydre.|
Acide cyanurique|Cyanuric acid|2015-09-08|108-80-5||Produit non contrôlé|Non requise|||
Acide cyclohexanediamine-1,2 tétraacétique|1,2-Diaminocyclohexanetetraacetic acid|2014-11-14|482-54-2||DS.1c.99, DS.1i.99, DS.1o.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.  Ce produit n’était pas contrôlé en vertu du Règlement sur les produits contrôlés.|
Acide cyclohexanediamine-1,2 tétraacétique (trans-)|trans-1,2-Diaminocyclohexanetetraacetic acid|2014-11-14|13291-61-7||DS.1c.99, DS.1i.99, DS.1o.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.  Ce produit n’était pas contrôlé en vertu du Règlement sur les produits contrôlés.|
Acide déhydroacétique|Dehydroacetic acid|2016-07-05|520-45-6||DP.17.99, DS.1o.4|Réglementation||Ce produit pourrait appartenir à la classe de danger "Poussières combustibles" en fonction de divers facteurs qui influencent la combustibilité et l'explosivité des poussières, notamment la composition, la forme et la taille des particules.|
Acide déhydrocholique|Dehydrocholic acid|2016-08-11|81-23-2||Produit non contrôlé|Non requise|||
Acide dichloro-2,4 phénoxyacétique|2,4-Dichlorophenoxyacetic acid|2015-12-04|94-75-7||DS.1o.4, DS.3.1, DS.6.2, DS.8.1|Réglementation|||
Acide dichloroacétique|Dichloroacetic acid|2016-03-01|79-43-6|UN1764|DS.1c.3, DS.2.1, DS.3.1, DS.6.2, DS.7.2, DS.12co.1|Réglementation||Ce produit pourrait être corrosif pour les métaux, veuillez contacter le fournisseur pour plus d'information.|
Acide diéthylènetriaminepentaméthylènephosphonique|Diethylenetriaminepenta(methylenephosphonic) acid|2014-11-14|15827-60-8||DS.1c.99, DS.1i.99, DS.1o.99, DS.7a.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.  Ce produit n’était pas contrôlé en vertu du Règlement sur les produits contrôlés.|
Acide dinitro-3,5 benzoïque|3,5-Dinitrobenzoic acid|2016-08-11|99-34-3||Produit non contrôlé|Non requise|||
Acide dodécamolybdophosphorique|Dodecamolybdophosphoric acid|2014-11-14|12026-57-2||DS.1c.99, DS.1i.99, DS.1o.99, DS.7a.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.  Ce produit n’était pas contrôlé en vertu du Règlement sur les produits contrôlés.|
Acide éthyl-2 hexanoïque|2-Ethylhexanoic acid|2014-11-14|149-57-5||DS.1c.99, DS.1i.99, DS.1o.99, DS.2.1, DS.3.1, DS.8.99, DS.12co.1|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.|
Acide éthylènediaminetétraacétique|Ethylenediaminetetraacetic acid|2015-08-19|60-00-4||DS.3.2|Réglementation|||
Acide fluorhydrique 40 %|Hydrofluoric acid 40 %|2016-02-18||UN1790|DS.1i.2, DS.1o.2, DS.2.1, DS.3.1, DS.9.1, DS.12co.1|Réglementation||Ce produit pourrait être corrosif pour les métaux, veuillez contacter le fournisseur pour plus d'information.|
Acide fluorhydrique 50%|Hydrofluoric acid 50%|2016-02-18||UN1790|DS.1i.2, DS.1o.2, DS.2.1, DS.3.1, DS.9.1, DS.12co.1|Réglementation||Ce produit pourrait être corrosif pour les métaux, veuillez contacter le fournisseur pour plus d'information.|
Acide fluorhydrique 70%|Hydrofluoric acid 70%|2016-02-18||UN1790|DS.1i.2, DS.1o.2, DS.2.1, DS.3.1, DS.9.1, DS.12co.1|Réglementation||Ce produit pourrait être corrosif pour les métaux, veuillez contacter le fournisseur pour plus d'information.|
Acide fluorosulfonique|Fluorosulfonic acid|2015-12-22|7789-21-1|UN1777|DS.1i.2, DS.2.1, DS.3.1, DS.8i.3|Réglementation||Au contact de l'eau, libère des gaz mortels en cas d'inhalation. Il n'y a aucune donnée disponible pour l'acide fluorosulfonique concernant son pouvoir d'irritation ou de corrosion. Cependant, il forme au contact de l'eau une substance corrosive: Fluorure d'hydrogène.|
Acide fluorozirconique|Fluorozirconic acid|2014-11-14|12021-95-3||DS.1c.99, DS.1i.99, DS.1o.99, DS.2.99, DS.3.99, DS.4c.99, DS.5.99, DS.8.99, DS.9.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.|
Acide folique|Folic acid|2015-09-08|59-30-3||Produit non contrôlé|Non requise|||
Acide formique|Formic acid|2015-05-08|64-18-6|UN1779|DP.6.3, DS.1i.3, DS.1o.4, DS.2.1, DS.3.1, DS.12co.1|Réglementation|||
Acide formique 80%|Formic acid 80%|2015-05-08|||DP.6.3, DS.1i.3, DS.1o.4, DS.2.1, DS.3.1, DS.12co.1|Réglementation|||
Acide formique 85%|Formic acid 85%|2015-05-08|||DP.6.3, DS.1i.3, DS.1o.4, DS.2.1, DS.3.1, DS.12co.1|Réglementation|||
Acide formique 90%|Formic acid 90%|2015-05-08|||DP.6.3, DS.1i.3, DS.1o.4, DS.2.1, DS.3.1, DS.12co.1|Réglementation|||
Acide gluconique|Gluconic acid|2015-09-01|526-95-4||Produit non contrôlé|Non requise|||
Acide glutamique (d-)|d-Glutamic acid|2014-11-14|6893-26-1||DS.1c.99, DS.1i.99, DS.1o.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.  Ce produit n’était pas contrôlé en vertu du Règlement sur les produits contrôlés.|
Acide glutamique (dl-)|dl-Glutamic acid|2015-09-09|617-65-2||Produit non contrôlé|Non requise|||
